City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
5,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
8,Chateaubelair,VC,82.92,few clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
9,Hithadhoo,MV,83.84,few clouds,-0.6,73.0833,Scoop Guest House
10,Manoharpur,IN,85.26,clear sky,27.3,75.95,कैथल हरियाणा होटल
13,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Atuona,PF,79.52,overcast clouds,-9.8,-139.0333,Villa Enata
27,Rikitea,PF,75.99,scattered clouds,-23.1203,-134.9692,People ThankYou
29,Alta Floresta,BR,85.82,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
31,Bo Phloi,TH,76.32,broken clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
32,Banjar,ID,77.54,overcast clouds,-8.19,114.9675,The Hamsa Resort
35,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
41,Cape Town,ZA,76.1,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
47,Bambous Virieux,MU,80.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
52,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
54,Akdepe,TM,80.69,clear sky,42.0551,59.3788,
55,Noumea,NC,82.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
60,Puerto Escondido,MX,76.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
63,Januaria,BR,89.47,clear sky,-15.4833,-44.3667,Hotel Paraguassu
64,Beyneu,KZ,75.07,clear sky,45.3167,55.2,NUR
68,Vao,NC,78.58,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
69,Lorengau,PG,79.93,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
75,Camapua,BR,82.33,few clouds,-19.5314,-54.0439,Comercial Estrela
76,Boa Vista,BR,76.98,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
82,Arraial Do Cabo,BR,82.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
87,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
88,Inhambane,MZ,82.76,clear sky,-23.865,35.3833,Oceano
89,Astorga,BR,79.03,clear sky,-23.2325,-51.6656,Rancho Jads
94,Nelspruit,ZA,82.69,few clouds,-25.4745,30.9703,Leaves Lodge and Spa
97,Vila Velha,BR,85.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
102,Fort Wellington,GY,79.79,broken clouds,6.4,-57.6,TE'AMO Entertainment Park
103,Port-Gentil,GA,81.45,overcast clouds,-0.7193,8.7815,Fengshui Residence
104,Harper,LR,85.93,broken clouds,4.375,-7.7169,Screensaver
109,Port Alfred,ZA,76.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
110,Souillac,MU,80.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
115,Kabompo,ZM,77.63,light rain,-13.5927,24.2008,Big Tree
117,Vanimo,PG,78.6,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
118,Namibe,AO,75.45,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
119,Wau,SS,86.68,light rain,7.7029,27.9953,Universal Gab Hotel
126,Sawakin,SD,84.13,overcast clouds,19.1059,37.3321,فندق الدويم
127,Pemba,MZ,81.86,light rain,-12.974,40.5178,Guesthouse Samotina
128,Yenagoa,NG,88.66,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
130,Marsh Harbour,BS,76.91,broken clouds,26.5412,-77.0636,Abaco Beach Resort
131,Belmonte,BR,82.98,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
138,Olinda,BR,80.33,light rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
140,Touros,BR,82.81,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
142,Atar,MR,88.59,clear sky,20.5169,-13.0499,Oumou Elghoura
150,Los Cedrales,PY,79.09,broken clouds,-25.65,-54.7,Piro'y Eco Turismo
151,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
156,Isangel,VU,79.75,overcast clouds,-19.55,169.2667,Tanna Lodge
161,Butaritari,KI,81.7,broken clouds,3.0707,172.7902,Isles Sunset Lodge
162,Port Shepstone,ZA,75.67,broken clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
166,Champerico,GT,82.94,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
171,Bengkulu,ID,78.89,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
173,Moroni,KM,81.97,light rain,-11.7022,43.2551,Hotel les Arcades
175,Caravelas,BR,83.95,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
187,Ipameri,BR,81.64,clear sky,-17.7219,-48.1597,Real Hotel
195,Richards Bay,ZA,79.65,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
204,San Ignacio,BZ,78.94,clear sky,17.1561,-89.0714,Rainforest Haven Inn
205,Faya,SA,77.11,clear sky,18.3851,42.4509,املاك خالد الشعشوع
206,Kavieng,PG,81.36,light rain,-2.5744,150.7967,Nusa Island Retreat
210,Saldanha,ZA,77.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
218,Ubatuba,BR,79.21,scattered clouds,-23.4339,-45.0711,Hotel Coquille
222,Hedaru,TZ,88.09,overcast clouds,-4.5,37.9,Hedaru Palace Hotel
224,Masvingo,ZW,79.45,broken clouds,-20.0637,30.8277,River Side Lodge
226,Nakambala,ZM,75.85,light rain,-15.8324,27.7799,Staff Area
229,Sampit,ID,75.27,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
230,Satellite Beach,US,75.06,clear sky,28.1761,-80.5901,Radisson Suite Hotel Oceanfront
236,Cabedelo,BR,86.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
240,Nacala,MZ,82.02,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
241,Ugoofaaru,MV,83.7,clear sky,5.6667,73.0,Ungoofaaru Inn
242,Balaipungut,ID,75.54,overcast clouds,1.05,101.2833,
244,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
246,Bowen,AU,79.27,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
248,Darayya,SY,83.16,scattered clouds,33.459,36.2374,المقبرة الجنوبية
249,Bandarbeyla,SO,82.09,clear sky,9.4942,50.8122,JABIR HOTEL
251,Seydi,TM,78.53,clear sky,39.4816,62.9137,Seydi oteli
255,Buala,SB,79.92,light rain,-8.145,159.5921,Maringe Lagoon Lodge
260,Dingle,PH,76.93,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
265,Kismayo,SO,83.97,overcast clouds,-0.3582,42.5454,Agan-Hotel
