City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Clyde River,CA,70.4692,-68.5914,10.49,89,89,1.1,overcast clouds
1,Milkovo,RU,54.7167,158.6167,11.88,86,8,4.85,clear sky
2,Burnie,AU,-41.0667,145.9167,55.81,74,80,4.79,broken clouds
3,Ushuaia,AR,-54.8,-68.3,44.22,81,40,5.75,scattered clouds
4,Hartford,US,41.7668,-72.7662,48.25,67,0,3.0,clear sky
5,Carnarvon,AU,-24.8667,113.6333,78.87,83,75,12.66,broken clouds
6,Kahului,US,20.8947,-156.47,73.85,71,0,19.57,clear sky
7,Busselton,AU,-33.65,115.3333,63.95,81,90,16.04,overcast clouds
8,Chateaubelair,VC,13.2833,-61.25,82.92,61,20,13.8,few clouds
9,Hithadhoo,MV,-0.6,73.0833,83.84,69,23,6.55,few clouds
10,Manoharpur,IN,27.3,75.95,85.26,5,1,6.33,clear sky
11,Simao,CN,22.7886,100.9748,56.8,76,21,3.33,few clouds
12,Hobart,AU,-42.8794,147.3294,57.06,92,100,8.05,overcast clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,80.56,81,78,9.93,broken clouds
14,Saint-Louis,SN,16.3333,-15.0,94.78,17,2,12.28,clear sky
15,Hilo,US,19.7297,-155.09,71.26,93,100,5.75,moderate rain
16,Atuona,PF,-9.8,-139.0333,79.52,70,87,21.56,overcast clouds
17,Khatanga,RU,71.9667,102.5,-19.28,100,98,6.13,overcast clouds
18,Rawson,AR,-43.3002,-65.1023,54.93,55,100,20.71,overcast clouds
19,Bermejo,AR,-32.8833,-68.8,66.11,45,39,21.85,scattered clouds
20,Bluff,NZ,-46.6,168.3333,57.04,72,54,11.72,broken clouds
21,Norman Wells,CA,65.282,-126.8329,-23.76,69,75,0.0,broken clouds
22,Qaanaaq,GL,77.484,-69.3632,12.15,72,92,6.49,overcast clouds
23,Vaini,TO,-21.2,-175.2,73.56,100,20,1.14,few clouds
24,Whitehorse,CA,60.7161,-135.0538,27.37,86,20,9.22,few clouds
25,Rocha,UY,-34.4833,-54.3333,73.83,62,100,11.03,overcast clouds
26,Albany,US,42.6001,-73.9662,42.42,59,100,2.24,light rain
27,Rikitea,PF,-23.1203,-134.9692,75.99,65,34,9.04,scattered clouds
28,Mishelevka,RU,52.8575,103.1719,25.43,96,100,0.4,overcast clouds
29,Alta Floresta,BR,-9.8756,-56.0861,85.82,70,40,3.44,scattered clouds
30,Penarroya-Pueblonuevo,ES,38.3,-5.2667,54.45,28,93,15.7,overcast clouds
31,Bo Phloi,TH,14.3236,99.5161,76.32,57,61,5.73,broken clouds
32,Banjar,ID,-8.19,114.9675,77.54,90,89,3.06,overcast clouds
33,Saskylakh,RU,71.9167,114.0833,-4.18,98,100,9.42,overcast clouds
34,Kodiak,US,57.79,-152.4072,26.11,93,0,3.44,clear sky
35,East London,ZA,-33.0153,27.9116,76.14,78,0,16.11,clear sky
36,Guerrero Negro,MX,27.9769,-114.0611,57.72,80,93,8.19,overcast clouds
37,Upernavik,GL,72.7868,-56.1549,15.75,82,95,9.33,overcast clouds
38,Uinskoye,RU,56.8817,56.5813,40.48,98,100,17.18,overcast clouds
39,Port Lincoln,AU,-34.7333,135.8667,60.46,78,1,6.64,clear sky
40,Usinsk,RU,65.9939,57.5281,22.8,77,100,14.27,overcast clouds
41,Cape Town,ZA,-33.9258,18.4232,76.1,58,40,14.97,scattered clouds
42,Avarua,CK,-21.2078,-159.775,73.45,94,100,2.3,overcast clouds
43,Saint-Philippe,RE,-21.3585,55.7679,74.79,90,99,17.13,moderate rain
44,Fujin,CN,47.26,132.0322,46.42,53,0,12.17,clear sky
45,Vidalia,US,32.2177,-82.4135,63.72,51,0,6.91,clear sky
46,Severo-Kurilsk,RU,50.6789,156.125,28.72,85,26,12.77,scattered clouds
47,Bambous Virieux,MU,-20.3428,57.7575,80.85,69,75,11.5,broken clouds
48,Asfi,MA,32.2994,-9.2372,62.62,77,17,17.09,few clouds
49,Ust-Maya,RU,60.4167,134.5333,10.18,97,100,2.08,overcast clouds
50,Leningradskiy,RU,69.3833,178.4167,-19.1,100,100,3.15,overcast clouds
51,Srednekolymsk,RU,67.45,153.6833,-16.98,100,67,2.68,broken clouds
52,Georgetown,MY,5.4112,100.3354,78.73,93,20,2.3,few clouds
53,Ponta Do Sol,PT,32.6667,-17.1,62.01,84,100,13.78,overcast clouds
54,Akdepe,TM,42.0551,59.3788,80.69,10,0,13.53,clear sky
55,Noumea,NC,-22.2763,166.4572,82.0,99,100,12.12,overcast clouds
56,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,98,75,12.66,broken clouds
57,Thompson,CA,55.7435,-97.8558,19.56,79,100,3.44,overcast clouds
58,Arlit,NE,18.7369,7.3853,106.83,3,5,2.95,clear sky
59,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,100,100,19.57,overcast clouds
60,Puerto Escondido,MX,15.85,-97.0667,76.03,88,0,5.75,clear sky
61,Hervey Bay,AU,-25.2986,152.8535,71.02,85,2,4.0,clear sky
62,Punta Arenas,CL,-53.15,-70.9167,42.12,81,20,25.72,few clouds
63,Januaria,BR,-15.4833,-44.3667,89.47,34,6,8.86,clear sky
64,Beyneu,KZ,45.3167,55.2,75.07,24,6,10.45,clear sky
65,Yellowknife,CA,62.456,-114.3525,0.28,78,20,11.5,few clouds
66,Nelson Bay,AU,-32.7167,152.15,68.0,90,100,6.35,overcast clouds
67,Westport,US,41.1415,-73.3579,48.74,77,75,8.05,broken clouds
68,Vao,NC,-22.6667,167.4833,78.58,89,100,22.73,overcast clouds
69,Lorengau,PG,-2.0226,147.2712,79.93,80,100,1.43,overcast clouds
70,Pogranichnyy,RU,44.4064,131.3769,43.47,52,2,4.99,clear sky
71,Mataura,NZ,-46.1927,168.8643,45.73,97,54,1.88,broken clouds
72,Cidreira,BR,-30.1811,-50.2056,72.34,77,100,18.05,moderate rain
73,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,68,20,2.3,few clouds
74,Hermanus,ZA,-34.4187,19.2345,74.8,61,39,14.16,scattered clouds
75,Camapua,BR,-19.5314,-54.0439,82.33,65,13,8.25,few clouds
76,Boa Vista,BR,2.8197,-60.6733,76.98,88,100,9.22,overcast clouds
77,Barrow,US,71.2906,-156.7887,-7.58,71,100,13.8,overcast clouds
78,Jamestown,US,42.097,-79.2353,33.44,74,100,13.8,overcast clouds
79,Tasiilaq,GL,65.6145,-37.6368,32.16,86,100,3.0,overcast clouds
